Dart,Дротик
Dazed,Ошеломлен
Dazzled,Ослеплен
DC,КС
Deadly,Смертельное
Deafened,Глухота
Death,Смерть
Death and Dying,Смерть и Умирание
Debilitation,Ослабление
Deception,Обман
Deceptive Worship,Обманчивое поклонение
Decipher Writing,Расшифровка Текста
Dedication,Посвящение
Defend,Защищаться
Degrees of Success,Степени Успеха
Deity,Божество
Delay,Выждать
Demon,Демон
Demoralize,Деморализовать
Dero,Деро
Detect Magic,Обнаружение Магии
Detecting Creatures,Обнаружение Существ
Detection,Обнаружение
Deviant,Девиантный
Devil,Дьявол
Dexterity,Ловкость
Dhampir,Дампир
Dice,Кости
Die Roll,Бросок Кости
Diehard,Несгибаемый
Difficult Terrain,Сложная Местность
Difficulty Class,Класс Сложности
Dim Light,Тусклый Свет
Dinosaur,Динозавр
Diplomacy,Дипломатия
Disability,Ограниченные Возможности
Disable a Device,Отключение Устройства
Disarm,Разоружение
Disaster,Бедствие
Disbelieve,Неверие
Discreet Inquiry,Осторожно расспрашивать
Disease,Болезнь
Dismiss,Развеять
Dispel,Рассеивание
Disrupting Actions,Прерывание Действий
Distracting Performance,Отвлекающее выступление
Disturbing Knowledge,Тревожные знания
Div,Див
Divination,Прорицание
Divine,Сакральный
Divine Guidance,Божественное наставление
Domain,Домен
Donning and Removing Armor,Надевание и снятие доспеха
Doomed,Обречен
Double Barrel,Двуствольное
Doublespeak,Двойной смысл
Downtime,Отдых
Dragon,Дракон
Dragonhide,Драконья Шкура
Drained,Истощен
Draw an Item,Достать Предмет
Dream,Грёзы
Drop an Item,Бросить Предмет
Drop Prone,Упасть Ничком
Drow,Дроу
Drowning and Suffocation,Тонуть и Задыхаться
Drug,Наркотик
Druid,Друид
Dubious Knowledge,Сомнительные знания
Duergar,Дуэргар
Duration,Продолжительность
Duskwalker,Сумеречный
Dwarf,Дварф
Dying,При Смерти
Earn Income,Заработок Денег
Earth,Земля
Effect,Эффект
Eidolon,Эйдолон
Electricity,Электричество
Elemental,Элементаль
Elf,Эльф
Elixir,Эликсир
Emanation,Эманация
Emotion,Эмоция
Enchantment,Очарование
Encounter,Столкновение
Encumbered,Перегружен
Energy,Энергия
Enfeebled,Ослаблен
Entourage,Свита
Environment,Окружение
Environmental,Окружение
Environmental Grace,Благоволение окружающей среды
Envision,Вообразить
Equipment,Снаряжение
Erratic,Неустойчивый
Escape,Вырваться
Esoterica,Эзотерика
Ethereal,Эфирный
Evangelize,Проповедование
Evil,Зло
Evocation,Эвокация
Evolution,Эволюция
Exhort the Faithful,Убеждение верующего
Expeditious Search,Оперативный поиск
Experience Points,Очки Опыта
Experienced Professional,Опытный профессионал
Experienced Smuggler,Опытный контрабандист
Experienced Tracker,Опытный следопыт
Experiment,Экспериментальный
Expert,Эксперт
Expert Spellcasting Benefits,Преимущества Экспертного Колдовства
Exploration,Исследование
Exploration and Downtime Activities,Активности во время исследования и отдыха
Explorer Clothing,Одежда исследователя
Express Rider,Скоростной наездник
Extradimensional,Межпространственный
Eye for Numbers,Человек дождя
Eye of the Arclords,Око Верховных Лордов
Failure,Провал
Falling,Падение
Familiar,Фамильяр
Fascinated,Заворожен
Fascinating Performance,Завораживающее выступление
Fast Healing,Быстрое Исцеление
Fast Recovery,Быстрое восстановление
Fatal,Фатальное
Fatal Aim,Фатальное Прицеливание
Fatigued,Утомление
Fear,Страх
Feat,Способность
Feather Step,Легкий шаг
Feats,Способности
Feint,Финт
Fetchling,Фечлин
Fey,Фея
Fiend,Исчадье
Fighter,Воин
Finesse,Точное
Finisher,Финишер
Finite,Конечный
Fire,Огонь
Firearm,Огнестрельное
Flail,Цеп
Flank,Тиски
Flat Check,Чистая Проверка
Fleeing,Бегство
Fleet,Быстроногий
Fleshwarp,Флэшворп
Flexible,Гибкий
Flourish,Размах
Flowing,Текущий
Fly,Полет
Focus,Фокусный
Focus Point,Очко Фокусировки
Focus Spell,Заклинание Фокусировки
Focused,Фокусирующий
Foil Senses,Одурачить чувства
Folk Dowsing,Лозоходство
Follow the Expert,Повторять За Экспертом
Forager,Добытчик еды
Force,Силовой
Force Open,Открыть Силой
Forceful,Силовое
Forensic Acumen,Судебно-медицинская проницательность
Formula,Формула
Fortitude,Стойкость
Fortune,Удача
Free Action,Свободное Действие
Frequency,Частота
Friendly,Дружественный
Frightened,Напуган
Full Plate,Полный латный
Fulu,Фулу
Fumble,Недоразумение
Fungus,Грибковый
Gadget,Гаджет
Game Master,Мастер Игры
Ganzi,Ганзи
Gargantuan,Исполинский
Gather Information,Собрать Информацию
Gear,Снаряжение
Gender and Pronouns,Пол и Местоимение
General,Общая
General Skill Actions,Общие действия навыков
Genie,Гений
Geniekin,Джинникин
Ghoran,Горан
Ghost,Привидение
Ghoul,Гуль
Giant,Гигант
Glad-Hand,Радушный прием
Glean Contents,Обрывочное содержимое
GM,ГМ
Gnoll,Гнолл
Gnome,Гном
Goblin,Гоблин
Godless Healing,Безбожное исцеление
Gods,Боги
Golarion,Голарион
Gold Piece,Золотая Монета
Golem,Голем
Goloma,Голома
Good,Добро
GP,ЗМ
Grab an Edge,Схватиться За Уступ
Grabbed,Схвачен
Grapple,Захватить
Gremlin,Гремлин
Grid,Сетка
Grid Movement,Передвижение по сетке
Grimoire,Гримуар
Grioth,Гриот
Grippli,Гриппли
Group,Группа
Group Coercion,Групповое принуждение
Group Impression,Впечатлить группу
Gunslinger,Стрелок
Hag,Карга
Half Plate,Полулатный
Halfling,Полурослик
Hammer,Молот
Hampering,Мешающее
Hardness,Твердость
Haunt,Призрак
Hazard,Опасность
Hazardous Terrain,Опасная Местность
Healing,Исцеление
Heavy Armor,Тяжелые доспехи
Hefty Hauler,Сильный носильщик
Hellknight Plate,Латный Хеллнайта
Helpful,Любезный
Heritage,Наследие
Hero Point,Очко Геройства
Hex,Сглаз
Hidden,Спрятан
Hide,Спрятаться
High gravity,Высокая гравитация
High Jump,Прыжок В Высоту
Hireling Manager,Менеджер наемных рабочих
Hit Points,Очки Здоровья
Hobgoblin,Хобгоблин
Hobnobber,Общительный
Hostile,Враждебный
HP,ОЗ
Human,Человек
Humanoid,Гуманоид
Hustle,Спешить
Identify Alchemy,Идентификация Алхимии
Identify Magic,Идентификация Магии
Ifrit,Ифрит
Illusion,Иллюзия
Immeasurable,Неизмеримый
Immobilized,Обездвижен
Immunity,Иммунитет
Impeccable Crafting,Безукоризненное ремесло
Impersonate,Перевоплотиться
Imprecise Sense,Неточное Чувство
Impressive Performance,Впечатляющее выступление
Improvise Tool,Импровизированный инструмент
Improvised Repair,Импровизированный ремонт
Improvised Weapons,Импровизированное оружие
Impulse,Импульс
Incapacitation,Недееспособность
Incarnate,Инкарнация
Incline,Склон
Incorporeal,Бестелесный
Incredible Initiative,Невероятная инициатива
Incredible Investiture,Невероятное облачение
Incredible Scout,Невероятный разведчик
Indifferent,Безразличный
Inevitable,Неминуемый
Influence Nature,Повлиять на природу
Infused Reagents,Насыщенные реагенты
Infusion,Нагнетание
Initiative,Инициатива
Injection,Инъекционное
Inoculation,Прививка
Intelligence,Интеллект
Intelligent,Разумный
Interact,Взаимодействовать
Intimidating Glare,Запугивающий взгляд
Intimidating Prowess,Выдающееся запугивание
Intimidation,Запугивание
Inventor,Изобретатель
Invest An Item,Инвестировать Предмет
Investigate,Исследовать
Investigator,Сыщик
Investing Magic Items,Инвестирование магических предметов
Invisible,Невидимый
Item,Предмет
Item Bonus,Бонус Предмета
Item Penalty,Штраф Предмета
Items and Sizes,Предметы и размеры
Jousting,Кавалерийское
Kami,Ками
Kashrishi,Кашриши
Keen Follower,Проницательный ученик
Key Ability,Ключевая характеристика
Kickback,Отдача
Kineticist,Кинетик
Kip Up,Подъем разгибом
Kitsune,Кицунэ
Knife,Нож
Knocked Out,Нокаут
Kobold,Кобольд
Kovintus,Ковинт
Language,Язык
Large,Большой
Lasting Coercion,Длительное принуждение
Lawful,Принципиальный
Lead Climber,Ведущий альпинист
Leap,Прыжок
Learn a Spell,Выучить Заклинание
Leather,Кожаный
Legendary,Легендарный
Legendary Codebreaker,Легендарный шифровальщик
Legendary Guide,Легендарный проводник
Legendary Linguist,Легендарный лингвист
Legendary Medic,Легендарный врач
Legendary Negotiation,Легендарные переговоры
Legendary Performer,Легендарный исполнитель
Legendary Professional,Легендарный профессионал
Legendary Sneak,Легендарно красться
Legendary Survivalist,Легендарный выживальщик
Legendary Thief,Легендарный вор
Lengthy Diversion,Надолго отвлечь
Leshy,Леший
Level,Уровень
Lie,Лгать
Lie to Me,Обмани меня
Light,Свет
Light and Darkness,Свет и Тьма
Light Armor,Легкие доспехи
Line,Линия
Line of Effect,Линия Эффекта
Line of Sight,Линия Обзора
Linguistic,Языковой
Litany,Литания
Lizardfolk,Людоящер
Locathah,Локата
Long Jump,Прыжок В Длину
Lore,Знания
Low gravity,Низкая гравитация
Magic,Магия
Magic Item,Магический Предмет
Magical,Магический
Magical Crafting,Магическое ремесло
Magical Shorthand,Магическая скоропись
Magical Tradition,Магический Обычай
Magus,Магус
Make an Impression,Произвести Впечатление
Maneuver in Flight,Маневрирование В Полете
Manipulate,Воздействие
Master,Мастер
Master Spellcasting Benefits,Преимущества Мастерского Колдовства
Material,Материальный
Materials,Материалы
Mechanical,Механический
Medicine,Медицина
Medium,Средний
Medium Armor,Средние доспехи
Mental,Ментальный
Merfolk,Мерфолк
Metal,Металл
Metamagic,Метамагия
Metamorphic,Метаморфный
Microgravity,Микрогравитация
Mindless,Неразумный
Mindshift,Сдвиг разума
Minion,Миньон
Misfortune,Неудача
Mithral,Мифрил
Mode of Play,Режим Игры
Modification,Модификация
Modifier,Модификатор
Modular,Модульное
Monitor,Наблюдатель
Monk,Монах
Monster,Монстр
Morlock,Морлок
Morph,Трансформация
Morphic Manipulation,Морфическая манипуляция
Mortal Healing,Смертное исцеление
Mortic,Мортик
Mount,Оседлать
Mounted Combat,Бой Верхом
Mounted siege weapon,Стационарное осадное орудие
Move,Движение
Movement,Передвижение
Movement Types,Виды передвижения
Multiclass,Мультикласс
Multilingual,Многоязычный
Multiple Attack Penalty,Штраф Множественной Атаки
Multiplying,Умножение
Mummy,Мумия
Munavri,Мунавр
Mutagen,Мутаген
Mutant,Мутант
Nagaji,Нагаджи
Narrow Surface,Узкая Поверхность
Natural Disaster,Стихийное Бедствие
Natural Medicine,Природная медицина
Nature,Природа
Necromancy,Некромантия
Negative,Негативный
Negative Healing,Негативное Исцеление
Nimble Crawl,Шустро ползать
No Cause for Alarm,Не надо пугаться
Noisy,Шумный
Nonlethal,Несмертельное
Nonlethal Attack,Несмертельная Атака
Nonplayer Character,Неигровой Персонаж
Numb to Death,Безразличие к смерти
Nymph,Нимфа
Oath,Клятва
Object,Объект
Observed,Замечен
Occult,Оккультный
Occultism,Оккультизм
Oddity Identification,Определение странностей
Oil,Масло
Olfactory,Обонятельный
Onset,Возникновение
Ooze,Слизь
Open,Начальный
Oracle,Оракул
Oracle Feats,Способности оракула
Orc,Орк
Oread,Ореад
Orichalcum,Орихалк
Overflow,Переполнение
Paaridar,Пааридар
Padded Armor,Стеганый
Paladin,Паладин
Palm an Object,Ловкость Рук
Paralyzed,Парализован
Parry,Парирование
Party Order,Групповое Построение
Pathfinder Society,Общество Искателей
Penalty,Штраф
Perception,Восприятие
Perform,Выступить
Performance,Выступление
Persistent Damage,Продолжительный Урон
Pervasive Magic,Повсеместная магия
Petitioner,Проситель
Petrified,Окаменение
Phantom,Фантом
Physical,Физический
Pick,Клевец
Pick a Lock,Вскрытие Замка
Pick up the Pace,Подхватывать ритм
Pickpocket,Карманник
Piercing,Колющий
Pilgrim Token,Символ паломника
Planar Scion,Планарный Отпрыск
Planar Survival,Планарное выживание
Plane,План
Plant,Растение
Plate,Латный
Platinum Piece,Платиновая Монета
Player,Игрок
Player Character,Персонаж Игрока
Point Out,Указать
Poison,Яд
Polearm,Древковое
Polymorph,Полиморф
Poppet,Кукла
Portable siege weapon,Переносное осадное орудие
Positive,Позитивный
Possession,Одержимость
Potions,Зелья
Powerful Leap,Мощный прыжок
PP,ПМ
Precious,Драгоценный
Precious Material Armor,Доспехи из драгоценных материалов
Precious Material Weapons,Оружие из драгоценных материалов
Precise Sense,Точное Чувство
Precision,Точный
Prediction,Предсказание
Preparations,Приготовления
Prerequisite,Предварительное Условие
Prescient Consumable,Предусмотрительный расходник
Prescient Planner,Дальновидный планировщик
Press,Натиск
Price,Цена
Primal,Природный
Proficiency,Уровень Мастерства
Prone,Ничком
Propulsive,Тяговое
Protean,Протей
Psyche,Психика
Psychic,Экстрасенс
Psychopomp,Психопомп
Qlippoth,Клиппот
Quick Climb,Быстро карабкаться
Quick Coercion,Быстрое принуждение
Quick Contacts,Быстрые контакты
Quick Disguise,Быстрая маскировка
Quick Identification,Быстрая идентификация
Quick Jump,Быстрый прыжок
Quick Recognition,Быстрое распознавание
Quick Repair,Быстрый ремонт
Quick Squeeze,Быстро протиснуться
Quick Swim,Быстро плавать
Quick Unlock,Быстрое вскрытие
Quickened,Ускорен
Quiet Allies,Тихие союзники
Rage,Ярость
Raise a Shield,Поднять щит
Rakshasa,Ракшас
Range,Дистанция
Ranged Trip,Дистанционное Опрокидывание
Ranger,Рейнджер
Rapid Affixture,Быстрое прикрепление
Rapid Mantel,Быстро подтянуться
Rare,Редкий
Rarity,Редкость
Ratfolk,Крысолюд
Reach,Досягаемость
Reaction,Реакция
Read Lips,Чтение по губам
Read Psychometric Resonance,Считывание психометрического резонанса
Ready,Приготовиться
Recall Knowledge,Вспомнить Информацию
Reckless,Безрассудство
Recognize Spell,Распознание заклинания
Recovery Check,Проверка Восстановления
Reflection,Отражение
Reflex,Рефлекс
Refocus,Сфокусироваться
Release,Отпустить
Religion,Религия
Reload,Перезарядка
Repair,Ремонт
Repeat a Spell,Повторять Заклинание
Repeating,Многозарядное
Request,Просьба
Requirements,Требования
Reroll,Перебросить
Resistance,Сопротивление
Resonant,Резонирующее
Rest,Отдых
Restrained,Сдерживаем
Result of a Check,Результат Проверки
Retrain,Переобучение
Retraining,Переобучение
Reveal True Name,Раскрыть истинное имя
Revelation,Откровение
Rewards,Награды
Ride,Езда верхом
Riding Animal,Ездовое Животное
Risky Surgery,Рискованная операция
Ritual,Ритуал
Robust Recovery,Надежное выздоровление
Rogue,Плут
Roleplaying,Отыгрыш Роли
Roleplaying Game,Ролевая Игра
Roll,Бросок
Rolling Ability Scores,Броски значений характеристик
Root Magic,Коренная магия
Round,Раунд
Rounding,Округление
Rune,Руна
Sacred Defense,Священная защита
Sahkil,Сахкил
Samsaran,Самсар
Sanctify Water,Освятить воду
Saving Throw,Спасбросок
Scale Mail,Чешуйчатый
Scare To Death,Напугать до смерти
Scatter,Разброс
Scent,Нюх
School,Школа
Schooled in Secrets,Посвященный секретам
Scout,Разведывать
Scroll,Свиток
Scrying,Видение
Sea Devil,Морской дьявол
Search,Искать
Seasoned,Опытный повар
Secret Checks,Тайные проверки
Seek,Поиск
Sense Direction,Определить Направление
Sense Motive,Понять Намерение
Senses,Чувства
Sentient,Чувствующий
Serpentfolk,Змеелюд
Session,Сессия
Shabti,Шабти
Shadow,Тень
Shadow Mark,Теневая метка
Shameless Request,Наглая просьба
Shield,Щит
Shield Block,Блок щитом
Shield Descriptions,Описания щитов
Shield Statistics,Характеристики щита
Shisk,Шиск
Shove,Толкнуть
Sickened,Тошнота
Sign Language,Язык жестов
Silver,Серебро
Silver Piece,Серебряная монета
Single Action,Одиночное действие
Size,Размер
Skeleton,Скелет
Skelm,Скельм
Skeptic Defense,Защита скептика
Skill,Навык
Skill Feats,Способности навыков
Skill Increases,Увеличения навыков
Skill Training,Обучение навыку
Skills,Навыки
Skitter,Быстро ползать
Skulk,Скулк
Sleep,Сон
Sling,Праща
Slippery Secrets,Скользкие тайны
Slowed,Замедлен
Snare,Силок
Snare Crafting,Создание силков
Sneak,Красться
Social,Публичный
Society,Общество
Somatic,Жестовый
Sonic,Звук
Sorcerer,Чародей
Soulbound,Одушевленный
Sow Rumor,Посеять слух
SP,СМ
Space,Пространство
Speaking,Говорить
Spear,Копье
Special Basic Actions,Специальные простые действия
Specialty Crafting,Специализация в ремесле
Specific Actions,Определенные действия
Speed,Скорость
Speed Penalty,Штраф Скорости
Spell,Заклинание
Spell Attack,Атака заклинанием
Spell Attack Roll,Бросок атаки заклинания
Spell Catalysts,Катализаторы заклинаний
Spell Components,Компоненты заклинания
Spell DC,КС заклинания
Spell Lists,Списки заклинаний
Spell Slots,Слоты заклинаний
Spellbook,Книга заклинаний
Spellcaster,Заклинатель
Spellheart,Сердце заклинания
Spells,Заклинания
Spirit,Дух
Splash,Брызги
Splint Mail,Пластинчатый
Spriggan,Спригган
Sprite,Спрайт
Squeeze,Протиснуться
Staff,Посох
Stage,Стадия
Stance,Стойка
Stand,Встать
Starvation and Thirst,Голод и Жажда
Static,Статичный
Status Bonus,Бонус состояния
Status Penalty,Штраф состояния
Staves,Посохи
Steady Balance,Твердое равновесие
Steal,Украсть
Stealth,Скрытность
Steam,Паровой
Steel Shield,Стальной щит
Step,Шаг
Stheno,Сфено
Stitch Flesh,Сшивание плоти
Strange gravity,Странная гравитация
Streetwise,Уличная жизнь
Strength,Сила
Stride,Перемещение
Strike,Удар
Strix,Стрикс
Structure,Строение
Structures,Строения
Studded Leather,Клепаный кожаный
Student of the Canon,Ученик канона
Stunned,Ошеломлен
Stupefied,Одурманен
Subjective gravity,Субъективная гравитация
Subsist,Проживание
Subtle Theft,Незаметное воровство
Success,Успех
Suffocation,Задыхаться
Suli,Сули
Summoned,Призванный
Summoner,Призыватель
Supertaster,Супердегустатор
Support,Поддержка
Surprise Attack,Неожиданная Атака
Survey Wildlife,Изучение дикой природы
Survival,Выживание
Sustain a Spell,Поддержание заклинания
Sustain an Activation,Поддержание активации
Sustained,Поддерживаемое
Sustaining Spells,Поддержание заклинаний
Swarm,Рой
Swashbuckler,Сорвиголова
Swashbuckler Feats,Способности сорвиголовы
Sweep,Размах
Swift Sneak,Быстро красться
Swim,Плыть
Swim Speed,Скорость плавания
Sword,Меч
Sylph,Сильф
Take Cover,Укрыться
Talisman,Талисман
Tandem,Тандем
Tane,Тэйн
Tangal,Танггал
Target,Цель
Tattoo,Татуировка
Tattoo Artist,Татуировщик
Teleportation,Телепортация
Temporary Hit Points,Временные очки здоровья
Temporary Immunity,Временный иммунитет
Temporary Items,Временные Предметы
Tengu,Тэнгу
Terrain,Местность
Terrain Expertise,Опыт местности
Terrain Stalker,Лазутчик местности
Terrified Retreat,Отступление в ужасе
Terrifying Resistance,Ужасающее сопротивление
Tethered,Привязанное
Thaumaturge,Тауматург
Thievery,Воровство
Thirst,Жажда
Thorough Search,Тщательный поиск
Thrown,Метательное
Tiefling,Тифлинг
Time,Время
Timeless,Вневременной
Tiny,Крошечный
Titan,Титан
Titan Wrestler,Борец с титанами
Tool,Инструмент
Touch,Касание
Toughness,Живучесть
Tower Shield,Башенный щит
Track,Выслеживание
Tradition,Обычай
Train Animal,Обучение животного
Trained,Обучен
Trait,Признак
Transmutation,Трансмутация
Trap,Ловушка
Travel Speed,Скорость путешествия
Treasure,Сокровище
Treat Disease,Лечение болезни
Treat Poison,Лечение от яда
Treat Wounds,Лечение ран
Tremorsense,Виброчувствительность
Trick Magic Item,Обмануть магический предмет
Trigger,Триггер
Trip,Опрокидывание
Troll,Тролль
Troop,Отряд
True Name,Истинное имя
True Perception,Истинное восприятие
Tumble Through,Проскочить
Turn,Ход
Twin,Парное
Unarmed,Безоружное
Unarmed Attack,Безоружная Атака
Unarmed Attacks,Безоружные атаки
Unarmored Defense,Защита без доспеха
Unbounded,Безграничный
Uncommon,Необычный
Unconscious,Без сознания
Undead,Нежить
Underground Network,Подпольная сеть
Underwater Marauder,Подводный мародер
Undetected,Необнаружен
Undine,Ундина
Uneven Ground,Неровная Земля
Unfriendly,Недружественный
Unified Theory,Единая теория
Unique,Уникальный
Unlimited,Неограниченная
Unmistakable Lore,Безошибочные знания
Unnoticed,Незамечен
Unstable,Нестабильный
Until Your Next Daily Preparations,До Ваших Следующих Ежедневных Приготовлений
Untrained,Нетренирован
Untrained Improvisation,Импровизация без тренировки
Urdefhan,Урдефан
Usage,Использование
Vague Sense,Смутное Чувство
Vampire,Вампир
Vanara,Ванара
Velstrac,Вельстрак
Verbal,Словесный
Versatile,Универсальное
Versatile Heritage,Универсальное Наследие
Vigilante,Линчеватель
Virtuosic Performer,Виртуозный исполнитель
Virulent Afflictions,Вирулентные недуги
Vishkanya,Вишканья
Visual,Визуальный
Vitality,Жизненность
Void,Пустота
Volley,Залповое
Wall,Стена
Wall Jump,Прыжок от стены
Wand,Палочка
Ward Medic,Врач отделения
Wary Disarmament,Осторожное отключение
Watches,Дозоры
Water,Вода
Water Sprint,Бег по воде
Wayang,Ваян
Weakness,Слабость
Wealth,Название
Weapon,Оружие
Weapon Description,Описание оружия
Weapon Proficiency,Владение оружием
Weapon Statistics,Характеристики оружия
Weapon Traits,Признаки оружия
Weather,Погода
Welcoming Environment,Дружелюбное Окружение
Werecreature,Оборотень
Wight,Умертвие
Will,Воля
Wisdom,Мудрость
